town,traffic,weather,start,target,route_completion,lights_ran,duration
Town01,0,1,221,210,45.99,0,67.45
Town01,0,3,221,210,28.99,0,43.2
Town01,0,6,221,210,25.65,0,39.8
Town01,0,8,221,210,5.06,0,11.6
Town01,0,1,152,84,16.4,0,20.95
Town01,0,3,152,84,13.25,0,19.05
Town01,0,6,152,84,20.15,0,25.85
Town01,0,8,152,84,9.3,0,193.0
Town01,0,1,185,121,0.93,0,186.05
Town01,0,3,185,121,0.86,0,184.55
Town01,0,6,185,121,0.62,0,5.05
Town01,0,8,185,121,1.3,0,7.45
Town01,0,1,127,56,28.93,0,250.05
Town01,0,3,127,56,30.88,0,75.25
Town01,0,6,127,56,2.12,0,5.9
Town01,0,8,127,56,32.13,0,76.0
Town01,0,1,112,6,50.01,3,49.1
Town01,0,3,112,6,10.89,1,19.6
Town01,0,6,112,6,39.94,2,38.05
Town01,0,8,112,6,26.33,1,31.45
Town01,0,1,40,190,10.95,0,18.2
Town01,0,3,40,190,48.7,4,83.7
Town01,0,6,40,190,10.44,0,18.0
Town01,0,8,40,190,11.12,1,25.75
Town01,0,1,174,121,3.0,0,7.55
Town01,0,3,174,121,1.24,0,5.9
Town01,0,6,174,121,6.0,0,11.25
Town01,0,8,174,121,2.34,0,37.95
Town01,0,1,119,185,43.7,0,68.45
Town01,0,3,119,185,44.05,0,69.75
Town01,0,6,119,185,43.82,0,68.75
Town01,0,8,119,185,47.49,0,97.55
Town01,0,1,236,223,23.02,0,52.1
Town01,0,3,236,223,3.24,0,17.1
Town01,0,6,236,223,0.0,0,180.05
Town01,0,8,236,223,0.0,0,180.05
Town01,0,1,217,152,28.8,0,81.05
Town01,0,3,217,152,21.77,0,57.95
Town01,0,6,217,152,19.94,0,55.3
Town01,0,8,217,152,28.8,0,81.35
Town01,1,1,78,225,27.84,0,58.4
Town01,1,3,78,225,13.23,0,27.05
Town01,1,6,78,225,30.97,0,59.4
Town01,1,8,78,225,27.84,0,58.85
Town01,1,1,103,21,30.45,1,43.2
Town01,1,3,103,21,30.45,1,43.7
Town01,1,6,103,21,11.74,0,199.55
Town01,1,8,103,21,16.46,0,205.5
Town01,1,1,127,87,31.89,0,250.0
Town01,1,3,127,87,35.42,0,75.55
Town01,1,6,127,87,5.19,0,11.95
Town01,1,8,127,87,35.42,0,75.8
Town01,1,1,19,103,35.47,1,52.3
Town01,1,3,19,103,35.47,1,52.05
Town01,1,6,19,103,35.78,1,52.5
Town01,1,8,19,103,38.08,1,56.9
Town01,1,1,230,210,70.25,0,70.45
Town01,1,3,230,210,100.0,0,76.8
Town01,1,6,230,210,70.25,0,25.65
Town01,1,8,230,210,7.35,0,5.85
Town01,1,1,250,190,26.4,1,29.95
Town01,1,3,250,190,25.04,0,28.0
Town01,1,6,250,190,21.53,0,24.1
Town01,1,8,250,190,27.1,1,52.1
Town01,1,1,220,118,29.33,0,36.2
Town01,1,3,220,118,29.64,0,65.75
Town01,1,6,220,118,29.49,0,36.55
Town01,1,8,220,118,29.96,0,35.5
Town01,1,1,200,224,44.71,2,74.65
Town01,1,3,200,224,5.04,1,10.45
Town01,1,6,200,224,14.89,1,24.35
Town01,1,8,200,224,1.77,0,5.55
Town01,1,1,11,17,5.85,0,5.75
Town01,1,3,11,17,8.17,0,8.05
Town01,1,6,11,17,9.33,0,11.45
Town01,1,8,11,17,42.04,1,100.25
Town01,1,1,78,245,48.35,0,57.7
Town01,1,3,78,245,22.98,0,26.8
Town01,1,6,78,245,53.8,0,59.5
Town01,1,8,78,245,48.35,0,58.95
Town01,1,1,3,175,11.05,1,13.0
Town01,1,3,3,175,21.63,1,28.65
Town01,1,6,3,175,3.08,0,5.95
Town01,1,8,3,175,7.2,1,261.8
Town01,1,1,92,112,15.45,0,28.3
Town01,1,3,92,112,9.78,0,238.3
Town01,1,6,92,112,12.59,0,25.55
Town01,1,8,92,112,15.45,0,343.75
Town01,1,1,233,238,5.19,0,8.9
Town01,1,3,233,238,5.19,0,10.0
Town01,1,6,233,238,2.91,0,7.95
Town01,1,8,233,238,5.19,0,48.4
Town01,1,1,4,54,21.6,0,26.55
Town01,1,3,4,54,21.6,0,26.6
Town01,1,6,4,54,21.6,0,27.05
Town01,1,8,4,54,21.4,0,26.5
Town01,1,1,17,205,2.32,1,126.1
